datetime,open,high,low,close,volume
2025-07-04 00:00:00+00:00,109584.7700000000,109767.5900000000,107245.0000000000,107984.2400000000,11793.8661500000
2025-07-05 00:00:00+00:00,107984.2500000000,108420.5600000000,107756.3100000000,108198.1200000000,3736.9757000000
2025-07-06 00:00:00+00:00,108198.1200000000,109700.0000000000,107800.0100000000,109203.8400000000,6447.6070000000
2025-07-07 00:00:00+00:00,109203.8500000000,109700.0000000000,107513.2000000000,108262.9400000000,9405.3760100000
2025-07-08 00:00:00+00:00,108262.9400000000,109216.5600000000,107429.5700000000,108922.9800000000,9216.0208000000
2025-07-09 00:00:00+00:00,108922.9900000000,111999.7900000000,108324.5300000000,111233.9900000000,17282.2865000000
2025-07-10 00:00:00+00:00,111234.0000000000,116868.0000000000,110500.0000000000,116010.0000000000,24883.4506650000
2025-07-11 00:00:00+00:00,116010.0100000000,118869.9800000000,115222.2200000000,117527.6600000000,25873.5211480000
2025-07-12 00:00:00+00:00,117527.6600000000,118200.0000000000,116900.0500000000,117420.0000000000,8446.6043700000
2025-07-13 00:00:00+00:00,117420.0000000000,119488.0000000000,117224.7900000000,119086.6400000000,9550.7929470000
2025-07-14 00:00:00+00:00,119086.6500000000,123218.0000000000,118905.1800000000,119841.1800000000,27269.3488770000
2025-07-15 00:00:00+00:00,119841.1700000000,119940.8300000000,115736.9200000000,117758.0900000000,32018.4608300000
2025-07-16 00:00:00+00:00,117758.0800000000,120063.8400000000,117017.2900000000,118630.4300000000,17039.9085100000
2025-07-17 00:00:00+00:00,118630.4400000000,120998.7100000000,117453.5700000000,119177.5600000000,15728.5765100000
2025-07-18 00:00:00+00:00,119177.5600000000,120820.7100000000,116812.7600000000,117924.8400000000,19924.6626600000
2025-07-19 00:00:00+00:00,117924.8400000000,118499.9000000000,117277.3400000000,117840.0000000000,6635.8030600000
2025-07-20 00:00:00+00:00,117840.0100000000,118856.8000000000,116467.0200000000,117265.1200000000,12962.9288900000
2025-07-21 00:00:00+00:00,117265.1100000000,119676.7300000000,116515.0000000000,117380.3600000000,17107.3312800000
2025-07-22 00:00:00+00:00,117380.3600000000,120247.8000000000,116128.0000000000,119954.4200000000,20959.1297300000
2025-07-23 00:00:00+00:00,119954.4300000000,120090.0000000000,117301.0000000000,118755.9900000000,14558.7508300000
2025-07-24 00:00:00+00:00,118756.0000000000,119450.0000000000,117103.1000000000,118340.9900000000,15806.8904300000
2025-07-25 00:00:00+00:00,118340.9800000000,118451.5700000000,114723.1600000000,117614.3100000000,38406.3487300000
2025-07-26 00:00:00+00:00,117614.3100000000,118297.3500000000,117138.3800000000,117919.9900000000,6991.6720600000
2025-07-27 00:00:00+00:00,117919.9900000000,119766.6500000000,117825.5000000000,119415.5500000000,9328.3091900000
2025-07-28 00:00:00+00:00,119415.5600000000,119800.0000000000,117427.5000000000,118062.3200000000,13961.7475400000
2025-07-29 00:00:00+00:00,118062.3200000000,119273.3600000000,116950.7500000000,117950.7600000000,15137.9344500000
2025-07-30 00:00:00+00:00,117950.7500000000,118792.0000000000,115796.2300000000,117840.3000000000,15586.7363100000
2025-07-31 00:00:00+00:00,117840.2900000000,118922.4500000000,115500.0000000000,115764.0800000000,17010.0073000000
2025-08-01 00:00:00+00:00,115764.0700000000,116052.0000000000,112722.5800000000,113297.9300000000,24487.1020600000
2025-08-02 00:00:00+00:00,113297.9200000000,114063.4900000000,112003.0000000000,112546.3500000000,11507.3342800000
2025-08-03 00:00:00+00:00,112546.3500000000,114799.9700000000,111920.0000000000,114208.8000000000,7397.7604600000
2025-08-04 00:00:00+00:00,114208.8100000000,115720.0000000000,114107.6000000000,115055.0300000000,9667.6791600000
2025-08-05 00:00:00+00:00,115055.0300000000,115127.8100000000,112650.0000000000,114129.7500000000,12042.7907800000
2025-08-06 00:00:00+00:00,114129.7500000000,115716.0000000000,113355.1300000000,114992.2700000000,9761.1531800000
2025-08-07 00:00:00+00:00,114992.2700000000,117621.0000000000,114259.0000000000,117472.0100000000,13468.5626300000
2025-08-08 00:00:00+00:00,117472.0200000000,117630.0000000000,115878.7100000000,116674.7400000000,10045.3127800000
2025-08-09 00:00:00+00:00,116674.7400000000,117944.0500000000,116299.1300000000,116462.2500000000,9514.1314400000
2025-08-10 00:00:00+00:00,116462.2500000000,119311.1100000000,116460.6300000000,119294.0100000000,14322.7707300000
2025-08-11 00:00:00+00:00,119294.2700000000,122335.1600000000,118050.1100000000,118686.0000000000,26494.3342900000
2025-08-12 00:00:00+00:00,118686.0000000000,120324.4300000000,118207.4700000000,120134.0800000000,16720.1089300000
2025-08-13 00:00:00+00:00,120134.0900000000,123667.7900000000,118920.9200000000,123306.4300000000,23210.0710200000
2025-08-14 00:00:00+00:00,123306.4400000000,124474.0000000000,117180.0000000000,118295.0900000000,27980.9475860000
2025-08-15 00:00:00+00:00,118295.0900000000,119216.8200000000,116803.9900000000,117342.0500000000,13623.3387400000
2025-08-16 00:00:00+00:00,117342.0400000000,117898.9900000000,117143.9800000000,117380.6600000000,6393.6811700000
2025-08-17 00:00:00+00:00,117380.6600000000,118575.0000000000,117172.2100000000,117405.0100000000,5898.6419200000
2025-08-18 00:00:00+00:00,117405.0100000000,117543.7500000000,114640.1400000000,116227.0500000000,17745.9395400000
2025-08-19 00:00:00+00:00,116227.0500000000,116725.6900000000,112732.5800000000,112872.9400000000,18065.4742400000
2025-08-20 00:00:00+00:00,112872.9500000000,114615.3800000000,112380.0000000000,114271.2400000000,15636.3419400000
2025-08-21 00:00:00+00:00,114271.2300000000,114821.7600000000,112015.6700000000,112500.0000000000,10839.6923500000
2025-08-22 00:00:00+00:00,112500.0000000000,117429.0500000000,111684.7900000000,116935.9900000000,23128.0903700000
2025-08-23 00:00:00+00:00,116936.0000000000,117030.0000000000,114560.0000000000,115438.0500000000,11329.3619700000
2025-08-24 00:00:00+00:00,115438.0600000000,115666.6800000000,110680.0000000000,113493.5900000000,21175.9846200000
2025-08-25 00:00:00+00:00,113493.5900000000,113667.2800000000,109274.1000000000,110111.9800000000,25182.7937900000
2025-08-26 00:00:00+00:00,110111.9800000000,112371.0000000000,108666.6600000000,111763.2200000000,18452.4387700000
2025-08-27 00:00:00+00:00,111763.2200000000,112625.0000000000,110345.4200000000,111262.0100000000,13392.6087500000
2025-08-28 00:00:00+00:00,111262.0100000000,113485.9000000000,110862.4200000000,112566.9000000000,11104.2774400000
2025-08-29 00:00:00+00:00,112566.9000000000,112638.6400000000,107463.9000000000,108377.4000000000,22580.3104500000
2025-08-30 00:00:00+00:00,108377.4000000000,108926.1500000000,107350.1000000000,108816.3300000000,10708.3915900000
2025-08-31 00:00:00+00:00,108816.3300000000,109480.0200000000,108076.9300000000,108246.3500000000,9489.5159600000
